num_poste,datouvr,datferm,commune,nom_usuel,lieu_dit,lat_dms,lon_dms,latitude,longitude,lambx,lamby,lambx_100,lamby_100,latitude_calc,longitude_calc,alti,oaci,type_poste_actuel,
98711001,01-Jan-1952,31-Mar-1965,ANAA,ANAA,TUUHORA VILLAGE,"17°21'0""S","145°30'12""W",-17.350000,-145.503333,12984,80661,12983.92,80660.62,-17.35,-145.50333333,2,null,4,
98711002,11-Dec-2012,null,ANAA,ANAA1,null,"17°21'25""S","145°30'30""W",-17.357000,-145.508333,12978,80653,12978.27,80653.04,-17.35694444,-145.50833333,3,null,1,
98711600,01-Jun-2008,null,ANAA,ANAA,ANAA,"17°30'0""S","145°30'0""W",-17.500000,-145.500000,12981,80493,12980.90,80493.36,-17.5,-145.5,0,null,7,
98711601,20-Aug-2010,null,ANAA,PT-TAHITI-OUEST-TUAMOTU,PT-TAHITI-OUEST-TUAMOTU,"17°30'0""S","147°30'0""W",-17.500000,-147.500000,10846,80567,10846.28,80566.51,-17.5,-147.5,0,null,7,
98712001,01-Sep-1975,null,ARUE,TETIAROA 1,MOTU ONETAHI,"17°0'52""S","149°35'8""W",-17.014333,-149.585500,8636,81157,8636.17,81156.64,-17.01444444,-149.58555556,2,null,1,
98712002,01-Sep-2001,01-Jun-2013,ARUE,TETIAROA AUTO,MOTU REIONO,"17°2'59""S","149°32'43""W",-17.049667,-149.545333,8678,81117,8678.30,81116.74,-17.04972222,-149.54527778,13,null,2,
98712003,23-Feb-2006,31-Dec-2020,ARUE,ARUE 3,Lotissement ERIMA,"17°32'6""S","149°31'28""W",-17.535000,-149.524500,8691,80579,8690.79,80578.60,-17.535,-149.52444444,180,null,4,
98712004,01-May-2017,null,ARUE,ARUE 4,Police Municipale Arue,"17°31'29""S","149°31'7""W",-17.524667,-149.518667,8697,80590,8697.20,80589.93,-17.52472222,-149.51861111,15,null,4,
98712005,01-Feb-1934,01-Jan-1935,ARUE,ARUE 1,ARAHIRI,"17°31'18""S","149°32'22""W",-17.521667,-149.539333,8675,80594,8675.29,80593.66,-17.52166667,-149.53944444,2,null,4,
98713001,01-Feb-1954,31-Aug-1960,ARUTUA,ARUTUA,RAUTINI VILLAGE,"15°18'24""S","146°37'24""W",-15.306667,-146.623333,11858,82976,11858.07,82976.30,-15.30666667,-146.62333333,3,null,4,
98713002,01-Feb-1952,28-Feb-2017,ARUTUA,KAUKURA,Tevaimarii,"15°40'23""S","146°52'22""W",-15.673167,-146.872833,11577,82577,11577.15,82576.69,-15.67305556,-146.87277778,2,null,4,
98713003,01-Aug-2014,31-Dec-2014,ARUTUA,APATAKI,Niutahi,"15°34'4""S","146°24'44""W",-15.567833,-146.412167,12077,82679,12077.11,82678.93,-15.56777778,-146.41222222,2,null,4,
98714001,21-Nov-1950,30-Nov-2016,BORA-BORA,FAANUI 1,SOCIETE,"16°29'23""S","151°45'30""W",-16.489667,-151.758333,6325,81765,6325.34,81764.70,-16.48972222,-151.75833333,8,null,4,
98714002,01-Jan-1976,null,BORA-BORA,BORA-BORA-MOTU-AERO,AERODROME SOCIETE,"16°26'43""S","151°45'7""W",-16.445167,-151.752000,6332,81814,6332.40,81813.89,-16.44527778,-151.75194444,3,NTTB,0,
98714003,01-Sep-1982,30-Sep-1994,BORA-BORA,NUNUE 1,POINTE MATIRA,"16°32'48""S","151°43'60""W",-16.546667,-151.733333,6352,81701,6351.63,81701.46,-16.54666667,-151.73333333,1,null,4,
98714004,01-Feb-1994,31-Dec-1997,BORA-BORA,NUNUE 2,POINTE MATIRA,"16°32'36""S","151°43'60""W",-16.543333,-151.733333,6352,81705,6351.65,81705.15,-16.54333333,-151.73333333,1,null,4,
98714005,01-Feb-1994,01-May-2020,BORA-BORA,ANAU 1,FAAOPORE,"16°31'37""S","151°43'33""W",-16.526833,-151.725833,6360,81723,6359.77,81723.36,-16.52694444,-151.72583333,10,null,4,
98714006,01-Jul-2000,28-Feb-2001,BORA-BORA,ANAU 2,ANAU VILLAGE,"16°30'18""S","151°43'12""W",-16.505000,-151.720000,6366,81747,6366.15,81747.47,-16.505,-151.72,2,null,4,
98714007,01-Oct-2000,null,BORA-BORA,NUNUE 3,POVAI,"16°30'49""S","151°43'53""W",-16.513500,-151.731500,6354,81738,6353.82,81738.15,-16.51361111,-151.73138889,7,null,3,
98714008,01-Oct-2001,01-May-2020,BORA-BORA,FAANUI 2,TIIPOTO,"16°28'44""S","151°45'5""W",-16.478833,-151.751333,6333,81777,6332.88,81776.64,-16.47888889,-151.75138889,5,null,4,
98714009,01-Dec-2011,null,BORA-BORA,ANAU3,CET de Anau,"16°29'13""S","151°43'17""W",-16.487000,-151.721500,6365,81767,6364.68,81767.40,-16.48694444,-151.72138889,93,null,3,
98714600,01-Jun-2008,null,BORA-BORA,NORD-BORA-BORA,NORD-BORA-BORA,"16°0'0""S","151°30'0""W",-16.000000,-151.500000,6605,82305,6605.10,82304.64,-16,-151.5,0,null,7,
98715001,01-Mar-1949,31-Dec-1957,FAAA,FAAA 1,AUAE,"17°32'54""S","149°34'60""W",-17.548333,-149.583333,8628,80565,8627.99,80564.96,-17.54833333,-149.58333333,2,null,4,
98715002,01-Jul-1957,null,FAAA,FAAA,Motu Tahiri,"17°33'19""S","149°36'52""W",-17.555167,-149.614333,8595,80558,8594.90,80557.98,-17.55527778,-149.61444444,2,NTAA,0,
98715003,01-Dec-1967,null,FAAA,FAAA 3,PAMATAI LABO GEOPHYSIQUE,"17°34'0""S","149°34'24""W",-17.566667,-149.573333,8638,80544,8638.25,80544.46,-17.56666667,-149.57333333,338,null,2,
98715004,01-Sep-1977,31-Dec-1989,FAAA,FAAA 4,MONT MARAU 1,"17°35'36""S","149°34'18""W",-17.593333,-149.571667,8639,80515,8639.49,80514.88,-17.59333333,-149.57166667,710,null,4,
98715005,01-Sep-1977,31-Dec-1993,FAAA,FAAA 5,MONT MARAU 2 ORSTOM,"17°36'42""S","149°31'60""W",-17.611667,-149.533333,8680,80494,8679.85,80493.82,-17.61166667,-149.53333333,1420,null,3,
98715006,01-Nov-1980,31-Dec-1982,FAAA,FAAA 6,PURAI CES FAAA,"17°33'42""S","149°35'54""W",-17.561667,-149.598333,8612,80550,8611.78,80550.47,-17.56166667,-149.59833333,94,null,4,
98715007,24-Dec-1853,31-Jul-1931,FAAA,PAPEETE-HOPITAL,Hopital VAIAMI,"17°32'35""S","149°34'12""W",-17.543000,-149.570000,8642,80571,8642.27,80570.61,-17.54305556,-149.57,2,null,4,
98715008,01-Oct-1987,null,FAAA,MARAU P0,null,"17°36'30""S","149°32'8""W",-17.608333,-149.535500,8678,80498,8677.61,80497.56,-17.60833333,-149.53555556,1400,null,3,
98715009,01-Dec-1995,null,FAAA,MATATIA P3,null,"17°35'44""S","149°34'4""W",-17.595500,-149.567833,8644,80512,8643.52,80512.40,-17.59555556,-149.56777778,1050,null,3,
98715501,01-Jul-1957,null,FAAA,PAPEETE_MIR987,Papeete CMIR,"17°33'19""S","149°36'52""W",-17.555167,-149.614333,8595,80558,8594.90,80557.98,-17.55527778,-149.61444444,2,null,6,
98715600,01-Jun-2008,null,FAAA,SUD-OUEST TAHITI,SUD-OUEST TAHITI,"18°0'0""S","150°7'0""W",-18.000000,-150.116667,8054,80074,8053.55,80074.14,-18,-150.11666667,0,null,7,
98715700,02-Oct-2018,null,FAAA,FAAA_RS,null,"17°33'18""S","149°36'53""W",-17.555000,-149.614667,8595,80558,8594.55,80558.17,-17.555,-149.61472222,2,NTAA,6,
98716001,01-Jun-1957,31-Oct-1960,FAKARAVA,NIAU,TUPANA VILLAGE,"16°7'54""S","146°19'54""W",-16.131667,-146.331667,12144,82049,12143.89,82048.91,-16.13166667,-146.33166667,5,null,4,
98716002,01-Jun-1906,null,FAKARAVA,FAKARAVA,ROTOAVA VILLAGE,"16°6'25""S","145°36'25""W",-16.106833,-145.607000,12925,82050,12924.73,82049.85,-16.10694444,-145.60694444,2,null,4,
98716600,01-Jun-2008,null,FAKARAVA,SUD NIAU,SUD NIAU,"16°30'0""S","146°30'0""W",-16.500000,-146.500000,11950,81645,11949.77,81645.03,-16.5,-146.5,0,null,7,
98717001,12-May-2005,31-Dec-2017,FANGATAU,FAKAHINA,TENANAKO,"15°58'50""S","140°10'11""W",-15.980500,-140.169667,18828,81901,18828.16,81900.52,-15.98055556,-140.16972222,4,null,4,
98718001,01-Oct-1959,null,FATU-HIVA,OMOA,OMOA VILLAGE,"10°31'0""S","138°40'54""W",-10.516667,-138.681667,20823,88008,20822.85,88007.92,-10.51666667,-138.68166667,4,null,2,
98718002,01-Oct-1997,null,FATU-HIVA,HANAVAVE,HANAVAVE VILLAGE,"10°27'29""S","138°39'32""W",-10.458167,-138.658833,20852,88073,20851.68,88073.35,-10.45805556,-138.65888889,10,null,4,
98718600,01-Jun-2008,null,FATU-HIVA,FATU-HIVA,FATU-HIVA,"10°30'0""S","139°0'0""W",-10.500000,-139.000000,20465,88043,20465.16,88043.39,-10.5,-139,0,null,7,
98718601,20-Aug-2010,null,FATU-HIVA,PT-NORD-EST-TUAMOTU,PT-NORD-EST-TUAMOTU,"12°30'0""S","137°30'0""W",-12.500000,-137.500000,22032,85674,22032.45,85673.56,-12.5,-137.5,0,null,7,
98719001,01-Dec-1935,30-Nov-1967,GAMBIER,RIKITEA,VIVIER DU ROI,"23°7'6""S","134°58'0""W",-23.118333,-134.966667,23680,73253,23679.67,73252.54,-23.11833333,-134.96666667,2,null,4,
98719002,01-Jul-1966,31-May-1968,GAMBIER,MANGAREVA TAKU,TAKU,"23°5'54""S","134°57'36""W",-23.098333,-134.960000,23690,73275,23689.66,73274.56,-23.09833333,-134.96,134,null,4,
98719003,01-May-1966,31-May-1967,GAMBIER,ILES ACTEON,MATUREAIVAVAO,"21°27'30""S","136°24'30""W",-21.458333,-136.408333,22370,75333,22369.92,75332.66,-21.45833333,-136.40833333,1,null,4,
98719004,01-Jun-1958,30-Apr-1980,GAMBIER,MANGAREVA-AERO,TOTEGEGIE,"23°5'54""S","134°52'12""W",-23.098333,-134.870000,23785,73262,23785.08,73262.33,-23.09833333,-134.87,2,null,0,
98719005,01-Apr-1980,null,GAMBIER,MANGAREVA,Atituiti,"23°7'49""S","134°57'55""W",-23.130167,-134.965333,23679,73239,23679.35,73238.81,-23.13027778,-134.96527778,91,null,0,
98719006,01-Apr-2001,null,GAMBIER,ATIAOA,TUAPARAPARA,"23°7'12""S","134°59'28""W",-23.120000,-134.991167,17359,73918,17359.39,73917.91,-23.12,-134.99111111,10,null,4,
98719600,01-Jun-2008,null,GAMBIER,SUD GAMBIER,SUD GAMBIER,"23°30'0""S","135°0'0""W",-23.500000,-135.000000,23588,72820,23588.11,72819.91,-23.5,-135,0,null,7,
98719601,20-Aug-2010,null,GAMBIER,PT-GAMBIER,PT-GAMBIER,"22°30'0""S","132°30'0""W",-22.500000,-132.500000,26411,73608,26410.52,73607.64,-22.5,-132.5,0,null,7,
98720001,01-Mar-1960,26-Sep-2016,HAO,HEREHERETUE,FAREIKA,"19°54'22""S","144°56'58""W",-19.906167,-144.949333,13448,77786,13448.25,77785.72,-19.90611111,-144.94944444,2,null,0,
98720002,01-Feb-1962,null,HAO,HAO AERO,AERODROME,"18°3'47""S","140°57'40""W",-18.063000,-140.961167,17817,79606,17817.38,79606.24,-18.06305556,-140.96111111,5,NTTO,0,
98720600,01-Jun-2008,null,HAO,NUKUTEPIPI,NUKUTEPIPI,"20°30'0""S","143°30'0""W",-20.500000,-143.500000,14941,77041,14940.76,77041.11,-20.5,-143.5,0,null,7,
98720601,01-Jun-2008,null,HAO,OUEST HAO,OUEST HAO,"18°0'0""S","141°30'0""W",-18.000000,-141.500000,17242,79715,17241.71,79714.59,-18,-141.5,0,null,7,
98720602,20-Aug-2010,null,HAO,PT-SUD-TUAMOTU,PT-SUD-TUAMOTU,"22°30'0""S","142°30'0""W",-22.500000,-142.500000,15843,74735,15843.42,74734.79,-22.5,-142.5,0,null,7,
98721001,01-Jun-1952,31-Oct-1968,HIKUERU,HIKUERU,TUPAPATI VILLAGE,"17°32'36""S","142°40'0""W",-17.543333,-142.666667,16017,80301,16016.64,80301.35,-17.54333333,-142.66666667,3,null,4,
98721600,20-Aug-2010,null,HIKUERU,PT-CENTRE-TUAMOTU,PT-CENTRE-TUAMOTU,"17°30'0""S","142°30'0""W",-17.500000,-142.500000,16199,80340,16198.68,80340.02,-17.5,-142.5,0,null,7,
98722001,01-Aug-1948,31-Dec-1995,HITIAA O TE RA,HITIAA 1,VALLEE FAAITI,"17°36'24""S","149°18'18""W",-17.606667,-149.305000,8923,80495,8922.60,80494.77,-17.60666667,-149.305,3,null,4,
98722002,01-Oct-1949,31-Jul-1991,HITIAA O TE RA,TIAREI 1,TIAREI,"17°32'48""S","149°20'48""W",-17.546667,-149.346667,8880,80562,8879.60,80562.12,-17.54666667,-149.34666667,2,null,4,
98722003,01-Nov-1953,null,HITIAA O TE RA,PAPENOO 1,plateau Atohei,"17°30'47""S","149°25'32""W",-17.513167,-149.425500,8796,80601,8796.49,80600.84,-17.51305556,-149.42555556,41,null,2,
98722004,01-Oct-1970,31-Jul-1996,HITIAA O TE RA,PAPENOO 2,PLATEAU ATOHEI,"17°30'42""S","149°26'6""W",-17.511667,-149.435000,8786,80603,8786.42,80602.69,-17.51166667,-149.435,116,null,4,
98722005,01-Jan-1971,null,HITIAA O TE RA,TIAREI 2,Ecole TEVAIHOPU,"17°32'34""S","149°20'52""W",-17.543667,-149.341667,8885,80565,8884.98,80565.34,-17.54277778,-149.34777778,2,null,2,
98722006,01-Jan-1989,null,HITIAA O TE RA,HITIAA 2,RIVIERE DE FAATAUTIA,"17°37'48""S","149°20'10""W",-17.630000,-149.336000,8889,80470,8889.15,80469.55,-17.63,-149.33611111,500,null,3,
98722007,01-Nov-1993,31-Dec-2010,HITIAA O TE RA,TIAREI 3,ECOLE DE TIAREI,"17°31'52""S","149°22'60""W",-17.531167,-149.383333,8841,80580,8840.95,80580.04,-17.53111111,-149.38333333,2,null,4,
98722011,01-Feb-1996,30-Apr-1999,HITIAA O TE RA,HITIAA 3,MAIRIE DE HITIAA,"17°34'60""S","149°18'0""W",-17.583333,-149.300000,8928,80521,8928.42,80520.53,-17.58333333,-149.3,1,null,4,
98722013,01-Oct-1999,null,HITIAA O TE RA,HITIAA 4,TERUAITI,"17°38'13""S","149°18'29""W",-17.636833,-149.308167,8919,80461,8918.58,80461.40,-17.63694444,-149.30805556,2,null,4,
98722014,15-Feb-2008,null,HITIAA O TE RA,PAPENOO 3,Faaripo,"17°30'53""S","149°26'32""W",-17.514833,-149.442333,8779,80599,8778.56,80599.33,-17.51472222,-149.44222222,53,null,4,
98722015,05-Oct-2010,null,HITIAA O TE RA,PAPENOO 4,Vainavenave,"17°39'13""S","149°25'21""W",-17.653667,-149.422500,8797,80445,8796.74,80445.09,-17.65361111,-149.4225,370,null,3,
98722016,01-May-2014,null,HITIAA O TE RA,MAHAENA 1,FAAITI,"17°33'53""S","149°19'51""W",-17.564667,-149.330833,8896,80542,8896.05,80541.85,-17.56472222,-149.33083333,5,null,4,
98722017,01-Mar-2004,null,HITIAA O TE RA,FAATAHI P1,null,"17°34'16""S","149°19'12""W",-17.571000,-149.320000,8907,80535,8907.43,80534.61,-17.57111111,-149.32,6,null,3,
98722018,01-Jun-1989,null,HITIAA O TE RA,PAPENOO P2,null,"17°34'2""S","149°26'10""W",-17.567333,-149.436167,8784,80541,8784.02,80541.03,-17.56722222,-149.43611111,210,null,3,
